"fit","lwr","upr"
95.6391731257198,94.2985515548444,96.9797946965952
79.8831116732181,78.5928770129855,81.1733463334507
64.0002866668016,62.5907805309932,65.40979280261
73.0483056063076,71.7926935073558,74.3039177052594
64.5063397631782,63.5679399184004,65.4447396079561
85.8597113863237,84.2982697676815,87.4211530049659
70.277683018217,68.6273548042811,71.9280112321528
61.2410121442747,59.6567034175656,62.8253208709838
55.3867215802904,53.7185687369341,57.0548744236467
72.9694119075493,71.9677858577181,73.9710379573805
72.7826430945892,71.1763029779605,74.3889832112179
83.2851297701478,82.2221628208998,84.3480967193957
85.0387717385217,84.0081701083723,86.0693733686712
62.1867608367647,60.5086973260619,63.8648243474674
61.7098552074508,60.4527841898405,62.9669262250612
65.1237547377187,64.1608137473744,66.0866957280629
72.5194006112839,71.6585281599683,73.3802730625995
64.0814455181396,62.5861781378047,65.5767128984744
74.8588668643711,73.8692486167274,75.8484851120148
65.3599591390214,63.9072300899908,66.8126881880519
59.1308758592836,57.5260104077505,60.7357413108168
70.3338573914964,68.2008286729096,72.4668861100832
92.326886619689,90.9402119245304,93.7135613148476
95.853535691122,94.4242388804083,97.2828325018357
95.1493425218702,93.3094356921743,96.9892493515661
96.3035469873874,94.790343414973,97.8167505598017
76.6884491353158,75.9658617491249,77.4110365215068
49.5385837274539,48.1955108065203,50.8816566483874
42.4938128271324,40.77298474523,44.2146409090347
48.9476734671416,46.8665084334778,51.0288385008055
58.2835975488727,56.8101103521799,59.7570847455656
71.1365321186132,68.9210458897961,73.3520183474303
92.7962630506395,91.3812273998867,94.2112987013923
93.3480534227613,91.6717737268088,95.0243331187137
95.5374275283145,93.7423391164986,97.3325159401304
85.0316321589786,83.5939449792809,86.4693193386764
66.7735640262922,64.8396480744522,68.7074799781322
54.542019065812,52.8149583602971,56.2690797713269
50.5796378571997,48.5472462674106,52.6120294469889
59.4030352039537,57.2923276310655,61.5137427768418
62.710791404825,60.8962089312214,64.5253738784286
64.3563801888125,63.2743600021746,65.4384003754504
66.7396626868689,65.2628337520014,68.2164916217364
86.2297854426333,84.9023262284224,87.5572446568442
87.3602605199252,86.2093528508328,88.5111681890176
81.8682161890997,80.9705949945096,82.7658373836897
89.5129579600523,88.2451549743979,90.7807609457067
95.8111071091542,94.2830202838983,97.3391939344102
80.9591106835848,79.5490857758575,82.369135591312
74.7094406577798,73.0112004242387,76.4076808913208
67.6343341574643,65.4951769522265,69.7734913627021
60.6745529942466,59.1416923158802,62.207413672613
70.4773433272617,67.2991983327,73.6554883218235
67.0261011906251,64.9523854074382,69.099816973812
67.1444700751637,65.1375655181575,69.1513746321699
59.7449933158327,57.5813527310438,61.9086339006215
54.8387732697203,52.4018024961089,57.2757440433318
49.8630865596377,48.5164527438128,51.2097203754625
40.4884322085364,37.9923866329691,42.9844777841036
62.9394666077644,61.6284372503569,64.2504959651719
61.2423998072762,60.1651899215246,62.3196096930278
62.3026864985389,61.3479117779683,63.2574612191095
62.7809797908542,61.6446252870364,63.917334294672
69.5979409592492,68.8645507692581,70.3313311492404
76.7380172968267,75.789799205631,77.6862353880223
79.7975550898889,78.9383102065713,80.6567999732064
80.8772069158367,79.5899324265329,82.1644814051405
72.8714971959098,72.2091247935258,73.5338695982937
82.1878445943201,80.8738388126788,83.5018503759614
85.3342931552619,84.3111340821165,86.3574522284074
95.6816017076875,94.2384489631131,97.1247544522619
96.0782139566764,94.2544455480519,97.9019823653008
88.629691227823,87.0123697016968,90.2470127539492
78.8186387985997,77.5273864372365,80.109891159963
78.784438834389,77.1411210232176,80.4277566455604
77.8948310367275,76.1627472807571,79.6269147926978
76.6025484301827,75.3793874186485,77.825709441717
58.2415130887088,56.5462079930966,59.936818184321
47.6143954386469,46.123386149119,49.1054047281748
44.107111501899,42.4584234493774,45.7557995544206
62.4781072459352,61.4501742572922,63.5060402345783
96.2719562975602,94.606448237286,97.9374643578344
84.1410142985706,82.9101904264482,85.371838170693
87.6048261121532,86.2016371092952,89.0080151150111
92.9945691751339,91.4628711869699,94.5262671632979
72.3932039035945,71.1180801588889,73.6683276483002
69.5808409771439,68.8793290124322,70.2823529418555
67.2935521599511,66.3628013170887,68.2243030028136
66.554115485291,65.3280555044971,67.7801754660848
74.6869328809366,73.9122440368127,75.4616217250606
65.3241599631735,63.3824563143535,67.2658636119935
53.7172485322443,52.1160375593366,55.318459505152
57.1920642895867,55.8067170983956,58.5774114807778
55.7480903238709,54.4351921358453,57.0609885118964
52.8315050987995,51.6210429599803,54.0419672376188
55.8147584674871,54.7613291898933,56.8681877450809
59.3194331298514,58.3018282843437,60.337037975359
85.032986343529,83.0886432724648,86.9773294145933
89.8580475383034,88.3445579798851,91.3715370967216
80.2114453911676,79.2483232733315,81.1745675090038
71.798984949505,70.7551661954218,72.8428037035882
63.7077186462488,62.8314922150733,64.5839450774244
67.1979026008913,66.3106453005134,68.0851599012692
71.2700799544813,70.1370798712992,72.4030800376634
80.3676670554981,79.1747740510078,81.5605600599885
77.6832892943445,76.4964322150756,78.8701463736134
85.899186572104,84.7788857630267,87.0194873811813
93.1181566084397,91.7648594596002,94.4714537572792
91.4832276464082,90.1646456258364,92.8018096669799
70.124448228525,68.5192546074233,71.7296418496266
67.2722659944902,65.7704658127106,68.7740661762698
76.1183371697065,75.2834294304513,76.9532449089618
65.715886609413,64.0128214696126,67.4189517492135
73.445095925481,72.581370607301,74.3088212436609
67.4728372715643,66.6800302865272,68.2656442566013
78.506361521558,76.7589452959304,80.2537777471856
67.1705203970849,65.2294280266825,69.1116127674873
48.8323034758069,46.432243461484,51.2323634901299
48.9986747886703,46.9054268074179,51.0919227699227
76.9942862522082,75.2299491500977,78.7586233543186
94.8524334421285,93.4935185452966,96.2113483389604
93.0869100404164,91.707200128432,94.4666199524008
65.1069988774171,64.0593264226477,66.1546713321866
66.0896134813038,64.8009700495036,67.378256913104
65.761968006962,64.0663118636723,67.4576241502517
65.9251966776673,63.868117999529,67.9822753558057
83.348655271606,81.7313201781246,84.9659903650873
72.0501567535016,70.2445713039792,73.8557422030239
80.982472755655,79.7450676278175,82.2198778834924
92.2238859324505,90.7407185630722,93.7070533018288
96.1593728080144,94.4916213274999,97.8271242885288
71.6771747980209,69.8189260956617,73.5354235003801
69.4382325309569,68.4857018407478,70.3907632211659
79.8869425589839,78.689353825101,81.0845312928667
87.4410752494593,86.2951878386264,88.5869626602923
75.730119590094,74.7443322825434,76.7159068976446
69.5141728335276,68.4008722260963,70.627473440959
63.4750344873591,61.9706822252009,64.9793867495173
81.846718475003,80.3277305541052,83.3657063959009
79.7602124835201,78.539078358923,80.9813466081171
81.7048094482097,80.2511870009379,83.1584318954815
88.3987053752875,86.9269973657895,89.8704133847855
88.5184619228275,87.1668151057559,89.8701087398991
99.1017633279202,97.3574047740659,100.846121881774
80.1049579399673,79.2455581011503,80.9643577787842
73.1574023318916,71.6188708503971,74.6959338133861
67.5066931139712,66.4528065838805,68.5605796440619
81.5682970403682,80.2453403050482,82.8912537756882
94.9639613719115,93.0819589476316,96.8459637961914
65.3065266132937,64.4923569920106,66.1206962345768
89.8095229179901,88.5924935285988,91.0265523073814
